campaign_id,campaign_name,brand,industry,goal,platform,start_date,end_date,budget_usd,spend_usd,target_audience,region,status
13,Campaign_Enable_Mission-Critical_Niches_13,Brown-Cook,Tech,Lead Generation,LinkedIn,2024-08-15,2024-09-18,90293.17,68601.16,45-54,Cocos (Keeling) Islands,Completed
14,Campaign_Embrace_World-Class_Niches_14,"Lutz, Chandler and Richards",Tech,Engagement,LinkedIn,2024-10-20,2024-10-30,86804.78,57389.81,18-24,Chile,Active
15,Campaign_Morph_Dynamic_E-Markets_15,"Tanner, Morris and Lopez",Finance,Brand Awareness,Instagram,2024-05-28,2024-07-12,99631.53,80865.51,55+,Zimbabwe,Active
16,Campaign_Cultivate_Back-End_E-Services_16,Meadows-Price,Tech,Engagement,Instagram,2024-10-25,2024-12-12,37316.67,26770.98,35-44,Antarctica (the territory South of 60 deg S),Paused
17,Campaign_Incentivize_Enterprise_Synergies_17,Jones LLC,Travel,Sales Conversion,LinkedIn,2024-10-22,2024-11-09,53229.76,34203.55,55+,Canada,Completed
18,Campaign_Architect_Killer_Paradigms_18,Doyle Ltd,Finance,Brand Awareness,LinkedIn,2024-02-29,2024-03-30,77438.53,63170.61,35-44,Maldives,Active
19,Campaign_Strategize_Front-End_Niches_19,"Fuentes, Powers and Brown",Food & Beverage,Lead Generation,Instagram,2024-01-08,2024-01-22,93264.37,88740.0,25-34,Kuwait,Paused
20,Campaign_Architect_B2B_Web-Readiness_20,Martinez-Hernandez,Finance,Lead Generation,Twitter,2024-01-31,2024-02-12,74531.22,69046.42,45-54,Palau,Paused
21,Campaign_Whiteboard_Leading-Edge_Deliverables_21,Braun-Marshall,Tech,Retargeting,Twitter,2024-03-05,2024-03-28,55129.01,46453.77,35-44,Switzerland,Active
22,Campaign_Innovate_Viral_E-Business_22,Larson-Hutchinson,Fitness,Brand Awareness,Twitter,2024-09-17,2024-11-04,40474.95,38849.7,25-34,Venezuela,Completed
23,Campaign_Optimize_Collaborative_Content_23,Becker Group,Tech,Brand Awareness,Instagram,2024-05-11,2024-05-19,60889.33,42138.21,18-24,Lao People's Democratic Republic,Completed
24,Campaign_Deliver_Holistic_E-Markets_24,"Gray, Foster and Mills",Tech,Sales Conversion,TikTok,2024-01-27,2024-02-05,86665.36,54455.57,25-34,Monaco,Paused
25,Campaign_Brand_Seamless_Supply-Chains_25,Bean-Kline,Fitness,Lead Generation,TikTok,2024-02-21,2024-04-14,93873.85,77766.72,45-54,Poland,Completed
26,Campaign_Deploy_Dot-Com_Synergies_26,"Davis, Johnson and Cox",Fitness,Engagement,Instagram,2024-02-06,2024-02-19,67603.36,50142.7,18-24,Hong Kong,Completed
27,Campaign_Drive_End-To-End_Platforms_27,Moore-Berg,Tech,Lead Generation,Twitter,2024-06-05,2024-07-28,37233.75,35173.57,55+,Congo,Active
28,Campaign_Disintermediate_Front-End_Synergies_28,Jacobs-Young,Fashion,Engagement,LinkedIn,2024-02-24,2024-03-29,22431.36,17609.77,18-24,Svalbard & Jan Mayen Islands,Completed
29,Campaign_Incentivize_Value-Added_Interfaces_29,Stevens-Carpenter,Tech,Lead Generation,TikTok,2024-09-10,2024-10-21,84422.62,83375.65,45-54,Grenada,Active
30,Campaign_Exploit_Web-Enabled_Content_30,"Phillips, Douglas and Knight",Fashion,Engagement,YouTube,2024-03-24,2024-04-25,90732.07,60414.39,45-54,Heard Island and McDonald Islands,Active
