post_id,campaign_id,platform,content_type,post_date,post_hour,day_of_week,caption_length,hashtag_count,has_emoji,reach,impressions,likes,comments,shares,saves,clicks,engagement_rate,ctr,sentiment_score,sentiment_label
124,7,Twitter,Reel,2024-10-03,8,Thursday,354,11,True,491642,833487,3963,870,669,771,25951,0.0112,0.0311,-0.876,Positive
125,7,Twitter,Post,2024-10-05,11,Saturday,334,7,True,161854,240081,3648,651,383,648,14001,0.0289,0.0583,0.915,Neutral
126,8,Twitter,Article,2024-05-09,7,Thursday,368,24,True,393028,1365069,5048,1003,572,1085,90285,0.0169,0.0661,0.051,Negative
127,8,Twitter,Post,2024-05-21,16,Tuesday,246,3,True,190679,245489,2446,494,285,195,12296,0.0169,0.0501,0.434,Neutral
128,8,Twitter,Article,2024-04-21,9,Sunday,390,0,False,472276,1097994,10003,1593,889,1425,15417,0.0264,0.014,-0.491,Positive
129,8,Twitter,Video,2024-04-27,1,Saturday,166,13,True,304201,387938,4283,628,149,1058,28162,0.0166,0.0726,0.538,Negative
130,8,Twitter,Tweet,2024-05-22,17,Wednesday,88,20,False,339627,1159173,4718,583,574,311,42222,0.0173,0.0364,-0.763,Negative
131,8,Twitter,Video,2024-05-06,17,Monday,214,26,True,278265,391138,8197,1372,1073,1588,16588,0.0382,0.0424,-0.505,Neutral
132,8,Twitter,Reel,2024-04-24,7,Wednesday,125,2,True,145519,225896,3783,275,377,897,11982,0.0305,0.053,0.188,Neutral
133,8,Twitter,Reel,2024-05-16,4,Thursday,277,9,True,353333,985052,1710,213,91,380,24832,0.0057,0.0252,0.632,Negative
134,8,Twitter,Video,2024-05-14,9,Tuesday,160,1,True,168197,418127,4017,397,485,619,33031,0.0291,0.079,0.252,Neutral
135,8,Twitter,Post,2024-05-13,12,Monday,114,24,False,260848,316283,3082,391,275,405,18578,0.0144,0.0587,-0.518,Positive
136,8,Twitter,Story,2024-05-01,8,Wednesday,124,10,True,450598,1260856,11586,1589,1457,890,61794,0.0325,0.049,0.844,Neutral
137,8,Twitter,Article,2024-04-21,18,Sunday,390,21,True,281827,800107,1908,385,224,167,56930,0.0089,0.0712,-0.041,Neutral
138,8,Twitter,Carousel,2024-05-01,22,Wednesday,124,12,True,477574,542906,14236,1114,1804,1402,23629,0.0359,0.0435,0.104,Neutral
139,8,Twitter,Video,2024-05-05,10,Sunday,488,6,False,245449,584355,2495,436,257,614,9877,0.013,0.0169,-0.374,Positive
140,8,Twitter,Post,2024-05-14,7,Tuesday,214,18,True,454029,740547,2653,658,304,213,29052,0.008,0.0392,-0.001,Negative
141,8,Twitter,Story,2024-05-20,4,Monday,388,17,False,177980,305695,4745,685,355,991,6656,0.0325,0.0218,-0.632,Negative
142,9,Twitter,Tweet,2024-11-07,7,Thursday,54,22,True,31792,74948,570,144,26,44,782,0.0233,0.0104,-0.982,Negative
143,9,Twitter,Video,2024-10-14,0,Monday,28,16,False,196664,244862,4191,759,390,655,2718,0.0272,0.0111,0.071,Neutral
144,9,Twitter,Story,2024-09-22,19,Sunday,289,8,False,264305,806547,5606,1065,215,447,13503,0.0261,0.0167,-0.465,Neutral
145,9,Twitter,Article,2024-09-25,20,Wednesday,408,1,True,196586,668847,2372,495,182,156,45457,0.0155,0.068,-0.189,Neutral
146,9,Twitter,Article,2024-10-18,3,Friday,478,16,True,250563,309364,736,133,73,120,20079,0.0038,0.0649,-0.54,Negative
147,9,Twitter,Article,2024-11-04,10,Monday,28,30,True,298158,668231,1032,281,181,58,33041,0.005,0.0494,0.174,Negative
148,9,Twitter,Video,2024-10-31,23,Thursday,91,25,True,209821,698557,2172,346,285,343,40091,0.0134,0.0574,0.002,Neutral
149,9,Twitter,Reel,2024-09-24,20,Tuesday,159,25,False,52215,112210,1080,227,172,221,4238,0.0283,0.0378,-0.019,Neutral
150,9,Twitter,Reel,2024-10-18,2,Friday,157,4,False,494429,989364,3842,500,464,381,30350,0.0097,0.0307,0.423,Negative
151,9,Twitter,Reel,2024-09-29,5,Sunday,240,14,False,388792,791227,3614,988,380,254,50080,0.0128,0.0633,-0.793,Positive
152,9,Twitter,Carousel,2024-10-09,7,Wednesday,312,16,True,291570,385850,4516,669,327,302,14332,0.0189,0.0371,0.371,Positive
153,9,Twitter,Post,2024-09-28,7,Saturday,389,20,False,141990,258807,1640,295,169,107,11360,0.0148,0.0439,0.188,Positive
154,9,Twitter,Video,2024-10-14,20,Monday,324,4,False,57084,81354,184,40,15,25,5723,0.0042,0.0703,-0.359,Negative
155,9,Twitter,Story,2024-10-01,10,Tuesday,212,8,False,252139,467475,7726,773,738,1276,20742,0.0366,0.0444,-0.27,Negative
156,9,Twitter,Article,2024-10-01,9,Tuesday,445,22,True,311497,1088194,2569,185,275,236,82711,0.0097,0.076,0.638,Neutral
157,9,Twitter,Carousel,2024-10-24,15,Thursday,318,12,False,262778,376831,2360,268,220,329,13712,0.0108,0.0364,0.087,Neutral
158,9,Twitter,Carousel,2024-10-26,1,Saturday,308,20,False,470500,1434795,9393,739,483,782,81106,0.0226,0.0565,0.934,Neutral
159,9,Twitter,Video,2024-11-07,11,Thursday,220,14,True,418454,892601,1297,227,138,214,45197,0.004,0.0506,-0.31,Positive
160,9,Twitter,Article,2024-10-15,6,Tuesday,286,15,False,55813,100967,1092,276,162,129,3471,0.0274,0.0344,-0.048,Neutral
161,9,Twitter,Article,2024-10-27,5,Sunday,496,23,True,366304,800694,1382,326,58,99,27235,0.0048,0.034,0.032,Negative
162,10,Twitter,Tweet,2024-04-30,19,Tuesday,472,6,False,294522,625354,4610,704,217,595,35027,0.0188,0.056,0.184,Neutral
163,10,Twitter,Post,2024-04-14,10,Sunday,120,14,True,370484,598520,3883,707,361,611,39481,0.0134,0.066,-0.475,Neutral
164,10,Twitter,Tweet,2024-05-09,22,Thursday,429,9,True,336076,622469,3862,384,301,326,26174,0.0135,0.042,0.344,Neutral
165,10,Twitter,Story,2024-04-19,15,Friday,345,17,True,126080,231093,1018,145,76,129,4541,0.0098,0.0197,0.11,Neutral
166,10,Twitter,Video,2024-04-28,17,Sunday,278,20,False,74555,115488,1762,350,247,156,5072,0.0316,0.0439,-0.182,Neutral
167,10,Twitter,Carousel,2024-05-04,9,Saturday,106,24,False,373319,1163165,4330,438,667,454,35414,0.0146,0.0304,0.131,Neutral
168,10,Twitter,Tweet,2024-05-10,14,Friday,299,6,False,268809,368727,1771,320,119,103,24919,0.0082,0.0676,-0.795,Negative
169,10,Twitter,Article,2024-05-20,7,Monday,127,25,False,130777,237295,3319,443,446,825,9666,0.0322,0.0407,0.722,Negative
170,10,Twitter,Carousel,2024-05-14,5,Tuesday,185,22,False,225482,337852,1251,157,55,132,11675,0.0065,0.0346,-0.421,Neutral
171,10,Twitter,Post,2024-05-30,20,Thursday,84,22,True,450847,1052545,12254,1046,1316,757,40851,0.0324,0.0388,-0.501,Negative
172,10,Twitter,Reel,2024-04-29,20,Monday,426,28,True,435363,737562,9286,965,1061,1161,39789,0.026,0.0539,-0.194,Negative
173,10,Twitter,Tweet,2024-04-27,14,Saturday,345,21,False,365224,1222480,5137,541,132,1009,78470,0.0159,0.0642,0.7,Negative
174,10,Twitter,Article,2024-05-03,15,Friday,423,10,True,115205,394405,2530,321,166,192,19054,0.0262,0.0483,-0.908,Negative
175,10,Twitter,Tweet,2024-05-22,4,Wednesday,471,20,False,439672,968595,3112,386,82,281,74642,0.0081,0.0771,-0.682,Neutral
176,10,Twitter,Article,2024-04-18,7,Thursday,239,20,True,344192,676352,1897,311,65,370,36382,0.0066,0.0538,0.407,Positive
177,10,Twitter,Article,2024-04-24,13,Wednesday,375,4,False,250984,323029,4243,611,133,314,10999,0.0199,0.034,-0.858,Neutral
178,11,Twitter,Tweet,2024-06-21,4,Friday,55,16,True,423553,570028,5168,430,553,396,35752,0.0145,0.0627,0.221,Positive
179,11,Twitter,Reel,2024-06-14,4,Friday,405,3,False,185123,524608,2724,455,374,183,36826,0.0192,0.0702,-0.297,Neutral
180,11,Twitter,Tweet,2024-06-11,0,Tuesday,454,27,False,415752,596850,3208,643,415,660,31353,0.0103,0.0525,-0.589,Negative
181,11,Twitter,Video,2024-06-16,20,Sunday,324,2,True,99905,289207,791,214,147,57,12910,0.0115,0.0446,0.974,Neutral
182,11,Twitter,Reel,2024-06-07,18,Friday,54,0,False,203814,645265,3092,600,411,630,49563,0.0201,0.0768,-0.569,Positive
183,11,Twitter,Carousel,2024-06-27,19,Thursday,98,8,True,414815,852502,4449,789,335,792,32530,0.0134,0.0382,-0.38,Negative
184,11,Twitter,Post,2024-06-26,22,Wednesday,243,23,True,107534,369739,671,121,90,119,20516,0.0082,0.0555,-0.884,Positive
185,11,Twitter,Story,2024-06-26,22,Wednesday,25,5,False,228794,315362,3123,705,439,164,7031,0.0186,0.0223,0.906,Negative
186,11,Twitter,Reel,2024-06-16,10,Sunday,433,13,False,411510,1264988,3541,723,520,260,77550,0.0116,0.0613,0.048,Neutral
187,11,Twitter,Article,2024-06-21,3,Friday,477,18,True,303331,790504,4431,376,602,360,17139,0.0178,0.0217,-0.543,Negative
188,11,Twitter,Reel,2024-06-04,17,Tuesday,431,29,False,24088,76138,67,11,12,16,1715,0.0037,0.0225,-0.551,Positive
189,11,Twitter,Article,2024-06-14,16,Friday,43,30,False,481171,1361084,3650,608,419,313,99544,0.0097,0.0731,-0.862,Neutral
190,11,Twitter,Tweet,2024-06-25,19,Tuesday,144,14,False,149010,440542,1244,226,117,257,13397,0.0107,0.0304,0.183,Neutral
191,11,Twitter,Post,2024-06-22,20,Saturday,449,22,True,407787,639823,10842,1109,305,1047,24762,0.0301,0.0387,0.902,Positive
192,11,Twitter,Story,2024-06-22,22,Saturday,163,2,True,345616,692289,6311,751,1051,1528,27267,0.0235,0.0394,0.843,Negative
193,12,LinkedIn,Carousel,2024-10-10,1,Thursday,242,21,True,470540,938247,14583,1652,851,947,63235,0.0363,0.0674,-0.526,Neutral
194,12,LinkedIn,Article,2024-09-21,18,Saturday,75,4,True,486512,1470219,16838,1911,975,1524,22388,0.0405,0.0152,-0.671,Neutral
195,12,LinkedIn,Article,2024-09-21,21,Saturday,175,26,True,214129,297589,5374,699,419,365,20734,0.0303,0.0697,-0.57,Neutral
